% This is a list of all parking signs 
% Format:
% subcategoryName, defaultColorAs1x3, defaultSize, isRequiredAs1or0 
% The subcategory names should NOT contain any spaces

% Speed limits can vary between 5 and 85 mph
SignsRoadway_SpeedLimits (R2-1), 0.5*[1 1 1], 5, 0
SignsRoadway_SpeedLimitsTrucks (R2-2), 0.5*[1 1 1], 5, 0
SignsRoadway_SpeedLimitsNight (R2-3), [1 1 1], 5, 0
SignsRoadway_SpeedLimitsTowing (R2-4), [1 1 1], 5, 0
SignsRoadway_SpeedLimitsSchool (S5-1), [1 1 1], 5, 0
SignsRoadway_SpeedLimitEndSchoolZone (S5-2), [1 1 1], 5, 0
SignsRoadway_SpeedLimitsWorkZone, [1 0.4039 0], 5, 0
SignsRoadway_ SpeedLimitsReducedSpeedAhead (R2-5a/b), [1 1 1], 5, 0
SignsRoadway_SpeedAdvisory (W13-1), [1 1 0], 5, 0
SignsRoadway_SpeedLimitsAdvisorysCurve (W13-5), [1 1 0], 5, 0
SignsRoadway_SpeedLimitsAdvisoryExitRamp (W13-2/W13-3), [1 1 0], 5, 0
SignsRoadway_SpeedLimitsMinimumSpeed, [1 1 1], 5, 0
SignsRoadway_SpeedLimitsRadarEnforced, [1 1 1], 5, 0
SignsRoadway_SpeedLimitsCheckedBy, [1 1 1], 5, 0
SignsRoadway_SpeedLimitsCustom, [1 1 1], 5, 0

% Stop signs can be 18-inch (trails/bikeways), 24-inch (parking lots), 30-inch (standard), 36-inch (multi-lane or high-speed roads), 48-inch (oversized for high-speed, dangerous, or low visibility)
SignsRoadway_Stop (R1-1), [1 0 0], 5, 0
SignsRoadway_StopAllWay (R1-3), [1 0 0], 5, 0
SignsRoadway_StopMultiWay, [1 0 0], 5, 0
SignsRoadway_Stop2Way, [1 0 0], 5, 0
SignsRoadway_StopHereForPedestrians (R1-5b), [1 0 0], 5, 0
SignsRoadway_StopHereForSchoolCrossing (R1-5c), [1 0 0], 5, 0
SignsRoadway_StopHereForTrailCrossing (R1-5e), [1 0 0], 5, 0
SignsRoadway_StopSmallInStreetPedestrianOrSchoolCrossing (R1-6a), [1 0 0], 5, 0
SignsRoadway_LEDFlashingStop (R1-1LED), [1 0 0], 5, 0
SignsRoadway_StopAhead (W3-1), [1 0 0], 5, 0
SignsRoadway_StopHereOnRed (R10-6), [1 0 0], 5, 0
SignsRoadway_StopGateSignRailroad, [1 0 0], 5, 0
SignsRoadway_NoTurnOnRed (R10-11), [1 0 0], 5, 0

SignsRoadway_YieldSmallInStreetPedestrianOrSchoolCrossing (R1-6), [1 1 0], 5, 0


