% This is a list of all parking signs 
% Format:
% subcategoryName, defaultColorAs1x3, defaultSize, isRequiredAs1or0 
% The subcategory names should NOT contain any spaces

% Speed limits can vary between 5 and 85 mph
SignsParking_SpeedLimits (R2-1), 0.5*[1 1 1], 5, 0
SignsParking_SpeedLimitsTrucks (R2-2), 0.5*[1 1 1], 5, 0
SignsParking_SpeedLimitsNight (R2-3), [1 1 1], 5, 0
SignsParking_SpeedLimitsTowing (R2-4), [1 1 1], 5, 0
SignsParking_SpeedLimitsSchool (S5-1), [1 1 1], 5, 0
SignsParking_SpeedLimitEndSchoolZone (S5-2), [1 1 1], 5, 0
SignsParking_SpeedLimitsWorkZone, [1 0.4039 0], 5, 0
SignsParking_SpeedLimitsReducedSpeedAhead (R2-5a/b), [1 1 1], 5, 0
SignsParking_SpeedAdvisory (W13-1), [1 1 0], 5, 0
SignsParking_SpeedLimitsAdvisorysCurve (W13-5), [1 1 0], 5, 0
SignsParking_SpeedLimitsAdvisoryExitRamp (W13-2/W13-3), [1 1 0], 5, 0
SignsParking_SpeedLimitsMinimumSpeed, [1 1 1], 5, 0
SignsParking_SpeedLimitsRadarEnforced, [1 1 1], 5, 0
SignsParking_SpeedLimitsCheckedBy, [1 1 1], 5, 0
SignsParking_SpeedLimitsCustom, [1 1 1], 5, 0

% Stop signs can be 18-inch (trails/bikeways), 24-inch (parking lots), 30-inch (standard), 36-inch (multi-lane or high-speed roads), 48-inch (oversized for high-speed, dangerous, or low visibility)
SignsParking_Stop (R1-1), [1 0 0], 5, 0
SignsParking_StopAllWay (R1-3), [1 0 0], 5, 0
SignsParking_StopMultiWay, [1 0 0], 5, 0
SignsParking_Stop2Way, [1 0 0], 5, 0
SignsParking_StopHereForPedestrians (R1-5b), [1 0 0], 5, 0
SignsParking_StopHereForSchoolCrossing (R1-5c), [1 0 0], 5, 0
SignsParking_StopHereForTrailCrossing (R1-5e), [1 0 0], 5, 0
SignsParking_StopSmallInStreetPedestrianOrSchoolCrossing (R1-6a), [1 0 0], 5, 0
SignsParking_LEDFlashingStop (R1-1LED), [1 0 0], 5, 0
SignsParking_StopAhead (W3-1), [1 0 0], 5, 0
SignsParking_StopHereOnRed (R10-6), [1 0 0], 5, 0
SignsParking_StopGateSignRailroad, [1 0 0], 5, 0
SignsParking_NoTurnOnRed (R10-11), [1 0 0], 5, 0

SignsParking_YieldSmallInStreetPedestrianOrSchoolCrossing (R1-6), [1 1 0], 5, 0

